IMDB_titleID,IMDB_rating,IMDB_title_name
/title/tt5709188/,"5.3 based on 10,631 user ratings"," A-X-L (2018) aka ""A.X.L."" "
/title/tt1807950/,"7.3 based on 17,725 user ratings"," Ask Tesadüfleri Sever (2011) aka ""aşk Tesadüfleri Sever"" "
/title/tt7355718/,"7.1 based on 1,773 user ratings", Aadu 2 (2017) 
/title/tt1479667/,5.0 based on 377 user ratings, Aagey Se Right (2009) 
/title/tt3345830/,7.7 based on 95 user ratings, Aajacha Divas Majha (2013) 
/title/tt0177505/,5.3 based on 76 user ratings, Aakhri Adaalat (1988) 
/title/tt8066304/,6.5 based on 114 user ratings, Aalorukkam (2018) 
/title/tt1241195/,"7.7 based on 10,698 user ratings", Aamir (2008) 
/title/tt7867076/,7.1 based on 719 user ratings, Aapla Manus (2018) 
/title/tt1848771/,"6.2 based on 5,076 user ratings", Aarakshan (2011) 
/title/tt1227524/,"7.1 based on 1,242 user ratings", Aashayein (2010) 
/title/tt0106206/,5.3 based on 296 user ratings, Aashik Aawara (1993) 
/title/tt2606526/,6.1 based on 13 user ratings, Aata Pita (2010) 
/title/tt10081210/,4.4 based on 77 user ratings, Aaviri (2019) 
/title/tt9433014/,6.9 based on 99 user ratings, Abby Hatcher (2018) (TV Series) 
/title/tt5012994/,5.8 based on 323 user ratings, Abby Sen (2015) 
/title/tt3679000/,"5.4 based on 5,565 user ratings"," Any Body Can Dance 2 (2015) aka ""ABCD 2"" "
/title/tt2321163/,"6.3 based on 6,316 user ratings", ABCD (Any Body Can Dance) (2013) 
/title/tt2497436/,2.9 based on 296 user ratings," Abdu Mouta (2012) aka ""Abdo Mota"" "
/title/tt3444312/,"6.8 based on 16,104 user ratings", Abducted in Plain Sight (2017) 
NaN,NaN,NaN
/title/tt6106494/,6.0 based on 299 user ratings, Abhinetri (2016) 
/title/tt7160988/,7.7 based on 26 user ratings," Bijeongsanghoedam (2014) (TV Series) aka ""Abnormal Summit"" "
/title/tt2445310/,5.3 based on 256 user ratings, Abominable Christmas (2012) (TV Short) 
/title/tt0276751/,"7.0 based on 173,643 user ratings", About a Boy (2002) 
/title/tt2194499/,"7.8 based on 307,354 user ratings", About Time (I) (2013) 
/title/tt6333098/,"8.4 based on 4,821 user ratings", Abstract: The Art of Design (2017) (TV Series) 
/title/tt12027008/,"3.9 based on 1,266 user ratings", Absurd Planet (2020) (TV Series) 
/title/tt0096754/,"7.5 based on 163,463 user ratings", The Abyss (1989) 
/title/tt4413338/,"5.4 based on 1,865 user ratings", Abzurdah (2015) 
NaN,NaN,NaN
NaN,NaN,NaN
/title/tt9077184/,7.6 based on 808 user ratings, Accidentally in Love (2018) (TV Series) 
/title/tt2813432/,6.3 based on 229 user ratings, Across Grace Alley (2013) (Short) 
/title/tt4295258/,5.2 based on 390 user ratings, Across the Line (2015) 
/title/tt0445922/,"7.3 based on 106,376 user ratings", Across the Universe (2007) 
/title/tt1591479/,"6.5 based on 66,637 user ratings", Act of Valor (2012) 
NaN,NaN,NaN
/title/tt1396208/,"4.2 based on 5,690 user ratings", Action Replayy (2010) 
/title/tt6288694/,"5.7 based on 10,585 user ratings", Acts of Vengeance (2017) 
/title/tt6684714/,"5.3 based on 11,023 user ratings", Acts of Violence (2018) 
/title/tt8548830/,"6.4 based on 1,296 user ratings", Ad Vitam (2018) (TV Series) 
/title/tt9616700/,"6.6 based on 3,779 user ratings", Adú (2020) 
/title/tt10376844/,5.8 based on 854 user ratings, Adam Devine: Best Time of Our Lives (2019) (TV Special) 
/title/tt5034326/,"8.0 based on 6,247 user ratings", Adam Ruins Everything (2015) (TV Series) 
/title/tt9036126/,"7.6 based on 4,662 user ratings", Adam Sandler: 100% Fresh (2018) (TV Special) 
/title/tt0090589/,7.1 based on 179 user ratings, Adam: His Song Continues (1986) (TV Movie) 
/title/tt4242982/,6.2 based on 128 user ratings, Nuit de la Glisse: Addicted to Life (2014) 
/title/tt8081748/,5.3 based on 126 user ratings, Adel Karam: Live from Beirut (2018) (TV Special) 
/title/tt7822454/,6.0 based on 56 user ratings, Adhugo (2018) 
/title/tt7127976/,4.4 based on 301 user ratings, Aditi Mittal: Things They Wouldn't Let Me Say (2017) (TV Special) 
/title/tt2103267/,"6.2 based on 32,522 user ratings"," Adoration (2013) aka ""Adore"" "
/title/tt6306064/,"6.6 based on 48,280 user ratings", Adrift (I) (2018) 
/title/tt7476874/,3.4 based on 100 user ratings, Adrishya (2017) 
/title/tt3090670/,"6.2 based on 4,956 user ratings", Advantageous (2015) 
NaN,NaN,NaN
/title/tt5314138/,1.5 based on 286 user ratings, Aerials (2016) 
/title/tt2309961/,"6.3 based on 21,939 user ratings", Afflicted (2013) 
/title/tt12930476/,6.7 based on 129 user ratings," Afonso Padilha: Alma de Pobre (2020) (TV Special) aka ""Afonso Padilha: Classless"" "
/title/tt2571774/,"9.0 based on 14,257 user ratings", Africa (2013) (TV Mini-Series) 
/title/tt12467250/,7.8 based on 6 user ratings, Afronta! (2017) (TV Series) 
/title/tt4126476/,"5.3 based on 39,949 user ratings", After (I) (2019) 
